CustomerID,Name,Email,City
1,John Doe,johndoe@mail.com,New York
2,Jane Smith,jane@mail.com,Los Angeles
3,Alice Johnson,alice@mail.com,Chicago
4,Bob Martin,bobm@mail.com,Miami
5,Clara Zetkin,clara@mail.com,Boston
6,Derek Hale,derek@mail.com,Seattle
7,Erica Reed,erica@mail.com,Denver
8,Frank Moore,frankm@mail.com,San Francisco
9,Gloria Henson,gloriah@mail.com,Houston
10,Hannah Sprout,hannahs@mail.com,Atlanta
11,Ian Finch,ianf@mail.com,Washington
12,Julia Mills,juliam@mail.com,Portland
13,Kyle James,kylej@mail.com,Phoenix
